1	0
10	0
100	0
11	0
12	0
13	0
14	0
15	0
16	0
1630	0
17	0
18	0
1817	0
1835	0
1848	0
1849	0
1859	0
1881	0
1882	0
19	0
2	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
3	0
30	0
31	0
39	0
4	0
49	0
5	0
6	0
7	0
78	0
8	0
9	0
a	0
abate	0
abati	0
abbadessa	0
abbagliante	0
abbaia	0
abbaiando	0
abbaiare	0
abbaiava	0
abbaiavano	0
abbaino	0
abbandona	-1
abbandonai	-1
abbandonando	-1
abbandonandosi	-1
abbandonano	-1
abbandonar	-1
abbandonare	-1
abbandonarla	-1
abbandonarlo	-1
abbandonarmi	-1
abbandonarsi	-1
abbandonarti	-1
abbandonata	-1
abbandonate	-1
abbandonati	-1
abbandonato	-1
abbandonava	-1
abbandonavano	-1
abbandonerà	-1
abbandoni	-1
abbandono	-1
abbandonò	-1
abbassa	0
abbassando	0
abbassare	0
abbassato	0
abbassava	0
abbasso	-1
abbassò	0
abbastanza	1
abbattimento	-1
abbattuta	-1
abbattuto	-1
abbazia	0
abbecedario	0
abbeveratoio	0
abbi	0
abbia	0
abbiam	0
abbiamo	0
abbian	0
abbiano	0
abbiate	0
abbietto	-1
abbiezione	-1
abbindolare	-1
abbisogna	0
abbisognasse	0
abbisognava	0
abboccamento	0
abboccarmi	0
abbominevole	-1
abbonati	0
abbondante	0
abbondanti	0
abbondanza	1
abbozzò	0
abbracci	1
abbraccia	1
abbracciai	1
abbracciamenti	1
abbracciando	1
abbracciandola	1
abbracciandolo	1
abbracciare	1
abbracciarla	1
abbracciarmi	1
abbracciate	1
abbracciati	1
abbracciato	1
abbracciava	1
abbracciavano	1
abbraccio	1
abbracciò	1
abbrancò	-1
abbrustoliti	-1
abdicazione	-1
aberrazione	-1
abete	0
abeti	0
abiezione	-1
abile	1
abili	1
abilità	1
abilmente	1
abissi	0
abisso	0
abita	0
abitanti	0
abitare	0
abitata	0
abitate	0
abitato	0
abitatori	0
abitava	0
abitavano	0
abitazione	0
abiti	0
abitino	0
abito	0
abituale	0
abituata	0
abituati	0
abituato	0
abitudine	0
abitudini	0
abnegazione	1
abolizione	0
abramo	0
abruzzi	0
abusare	-1
abuso	-1
acabbo	0
acacie	0
accadde	0
accade	0
accademia	0
accadere	0
accadesse	0
accadeva	0
accaduta	0
accaduto	0
accalcava	-1
accalorandosi	-1
accanimento	-1
accanita	-1
accanitamente	-1
accanto	0
accapigliarsi	-1
accappatoio	0
accarezza	1
accarezzando	1
accarezzandosi	1
accarezzare	1
accarezzarla	1
accarezzato	1
accarezzava	1
accarezzavano	1
accarezzò	1
accasarsi	0
accasata	0
accasciata	0
accattone	-1
accecato	-1
accelerare	0
accendendo	0
accendere	0
accendersi	0
accendessero	0
accendeva	0
accendevano	0
accendi	0
accendono	0
accennando	0
accennare	0
accennata	0
accennato	0
accennava	0
accennavano	0
accennò	0
accenti	0
accento	0
accertarsi	0
accertato	0
accerto	0
accesa	0
accese	0
accesi	0
acceso	0
accessi	1
accesso	1
accetta	1
accettai	1
accettando	1
accettar	1
accettare	1
